"PLU_SAP60";"store_id";"PredictionDay";"ReferenceDay";"FinalForecast"
"00000000000000966679";"0067";2023-12-21;2023-12-01;"00000000000000003.02"
"00000000000000638771";"0067";2023-12-13;2023-12-01;"00000000000000016.63"
"00000000000000966669";"0067";2023-12-04;2023-12-01;"00000000000000057.26"
"00000000000000966670";"0067";2023-12-04;2023-12-01;"00000000000000008.62"
"00000000000000626218";"0067";2023-12-11;2023-12-01;"00000000000000002.87"
"00000000000000966668";"0067";2023-12-07;2023-12-01;"00000000000000057.16"
"00000000000000966669";"0067";2023-12-07;2023-12-01;"00000000000000058.70"
"00000000000000966670";"0067";2023-12-07;2023-12-01;"00000000000000008.16"
"00000000000000655130";"0067";2023-12-15;2023-12-01;"00000000000000017.49"
"00000000000000626218";"0067";2023-12-12;2023-12-01;"00000000000000002.67"
"00000000000000638771";"0067";2023-12-22;2023-12-01;"00000000000000020.10"
"00000000000000966668";"0067";2023-12-22;2023-12-01;"00000000000000061.20"
"00000000000000966669";"0067";2023-12-22;2023-12-01;"00000000000000072.90"
"00000000000000626218";"0067";2023-12-02;2023-12-01;"00000000000000003.36"
"00000000000000631234";"0067";2023-12-07;2023-12-01;"00000000000000000.04"
"00000000000000631234";"0067";2023-12-16;2023-12-01;"00000000000000000.04"
"00000000000000966669";"0067";2023-12-14;2023-12-01;"00000000000000056.81"
"00000000000000966670";"0067";2023-12-14;2023-12-01;"00000000000000007.83"
"00000000000000966679";"0067";2023-12-14;2023-12-01;"00000000000000003.12"
"00000000000000638771";"0067";2023-12-07;2023-12-01;"00000000000000017.74"
"00000000000000655130";"0067";2023-12-16;2023-12-01;"00000000000000020.33"
"00000000000000626218";"0067";2023-12-09;2023-12-01;"00000000000000003.20"
"00000000000000632861";"0067";2023-12-14;2023-12-01;"00000000000000001.11"
"00000000000000966670";"0067";2023-12-20;2023-12-01;"00000000000000007.92"
"00000000000000966679";"0067";2023-12-12;2023-12-01;"00000000000000003.22"
"00000000000000626218";"0067";2023-12-14;2023-12-01;"00000000000000002.64"
"00000000000000638771";"0067";2023-12-01;2023-12-01;"00000000000000022.24"
"00000000000000966679";"0067";2023-12-22;2023-12-01;"00000000000000003.30"
"00000000000000966668";"0067";2023-12-18;2023-12-01;"00000000000000058.70"
"00000000000000632861";"0067";2023-12-23;2023-12-01;"00000000000000001.84"
"00000000000000655130";"0067";2023-12-23;2023-12-01;"00000000000000022.80"
"00000000000000632861";"0067";2023-12-10;2023-12-01;"00000000000000001.54"
"00000000000000638771";"0067";2023-12-10;2023-12-01;"00000000000000018.34"
"00000000000000966668";"0067";2023-12-10;2023-12-01;"00000000000000086.11"
"00000000000000966669";"0067";2023-12-10;2023-12-01;"00000000000000098.73"
"00000000000000966670";"0067";2023-12-10;2023-12-01;"00000000000000008.58"
"00000000000000655130";"0067";2023-12-12;2023-12-01;"00000000000000010.59"
"00000000000000631234";"0067";2023-12-05;2023-12-01;"00000000000000000.04"
"00000000000000632861";"0067";2023-12-08;2023-12-01;"00000000000000001.36"
"00000000000000638771";"0067";2023-12-08;2023-12-01;"00000000000000021.47"
"00000000000000631234";"0067";2023-12-08;2023-12-01;"00000000000000000.05"
"00000000000000632861";"0067";2023-12-24;2023-12-01;"00000000000000002.57"
"00000000000000966679";"0067";2023-12-04;2023-12-01;"00000000000000003.51"
"00000000000000655130";"0067";2023-12-05;2023-12-01;"00000000000000010.68"
"00000000000000655130";"0067";2023-12-03;2023-12-01;"00000000000000006.63"
"00000000000000966679";"0067";2023-12-18;2023-12-01;"00000000000000003.25"
"00000000000000631234";"0067";2023-12-17;2023-12-01;"00000000000000000.04"
