"PLU_SAP60";"store_id";"PredictionDay";"ReferenceDay";"FinalForecast"
" 000000000000966679.";"0486";"2023-12-26";"2023-12-18";" 0000000000000002.06"
" 000000000000966668.";"0067";"2023-12-24";"2023-12-18";" 0000000000000087.57"
" 000000000000966669.";"0067";"2023-12-24";"2023-12-18";" 0000000000000107.43"
" 000000000000966670.";"0067";"2023-12-24";"2023-12-18";" 0000000000000010.50"
" 000000000000626218.";"0328";"2023-12-27";"2023-12-18";" 0000000000000003.96"
" 000000000000638771.";"0332";"2023-12-28";"2023-12-18";" 0000000000000009.07"
" 000000000000858091.";"0486";"2023-12-22";"2023-12-18";" 0000000000000002.02"
" 000000000000638484.";"0978";"2023-12-22";"2023-12-18";" 0000000000000000.40"
" 000000000000626218.";"0067";"2023-12-21";"2023-12-18";" 0000000000000002.80"
" 000000000000626218.";"0486";"2023-12-29";"2023-12-18";" 0000000000000001.61"
" 000000000000638484.";"0332";"2023-12-20";"2023-12-18";" 0000000000000003.60"
" 000000000000966669.";"0067";"2023-12-21";"2023-12-18";" 0000000000000058.00"
" 000000000000966670.";"0067";"2023-12-21";"2023-12-18";" 0000000000000009.45"
" 000000000000858091.";"0328";"2023-12-19";"2023-12-18";" 0000000000000008.79"
" 000000000000966669.";"0978";"2023-12-22";"2023-12-18";" 0000000000000039.05"
" 000000000000966670.";"0978";"2023-12-22";"2023-12-18";" 0000000000000004.90"
" 000000000000858091.";"0978";"2023-12-27";"2023-12-18";" 0000000000000013.16"
" 000000000000966668.";"0328";"2024-01-07";"2023-12-18";" 0000000000000053.64"
" 000000000000966669.";"0328";"2024-01-07";"2023-12-18";" 0000000000000055.25"
" 000000000000966670.";"0328";"2024-01-07";"2023-12-18";" 0000000000000009.67"
" 000000000000966668.";"0332";"2024-01-05";"2023-12-18";" 0000000000000054.84"
" 000000000000966669.";"0332";"2024-01-05";"2023-12-18";" 0000000000000055.35"
" 000000000000966670.";"0332";"2024-01-05";"2023-12-18";" 0000000000000006.77"
" 000000000000966679.";"0332";"2024-01-05";"2023-12-18";" 0000000000000002.79"
" 000000000000966668.";"0486";"2023-12-23";"2023-12-18";" 0000000000000028.60"
" 000000000000632861.";"0332";"2023-12-27";"2023-12-18";" 0000000000000002.42"
" 000000000000638484.";"0332";"2023-12-27";"2023-12-18";" 0000000000000003.09"
" 000000000000638484.";"0332";"2024-01-05";"2023-12-18";" 0000000000000003.65"
" 000000000000626218.";"0978";"2023-12-30";"2023-12-18";" 0000000000000002.24"
" 000000000000966679.";"0328";"2023-12-18";"2023-12-18";" 0000000000000006.24"
" 000000000000638484.";"0978";"2023-12-19";"2023-12-18";" 0000000000000000.38"
" 000000000000626218.";"0332";"2023-12-22";"2023-12-18";" 0000000000000002.45"
" 000000000000638484.";"0978";"2023-12-27";"2023-12-18";" 0000000000000000.21"
" 000000000000638484.";"0486";"2023-12-21";"2023-12-18";" 0000000000000000.20"
" 000000000000632861.";"0978";"2023-12-19";"2023-12-18";" 0000000000000001.42"
" 000000000000638771.";"0067";"2024-01-07";"2023-12-18";" 0000000000000020.10"
" 000000000000649587.";"0067";"2024-01-07";"2023-12-18";" 0000000000000002.80"
" 000000000000626218.";"0978";"2024-01-02";"2023-12-18";" 0000000000000001.59"
" 000000000000649587.";"0067";"2023-12-18";"2023-12-18";" 0000000000000011.60"
" 000000000000966679.";"0328";"2023-12-28";"2023-12-18";" 0000000000000005.63"
" 000000000000966668.";"0332";"2024-01-06";"2023-12-18";" 0000000000000053.01"
" 000000000000966669.";"0332";"2024-01-06";"2023-12-18";" 0000000000000057.12"
" 000000000000966670.";"0332";"2024-01-06";"2023-12-18";" 0000000000000006.08"
" 000000000000966679.";"0332";"2024-01-06";"2023-12-18";" 0000000000000002.53"
" 000000000000571581.";"0328";"2023-12-23";"2023-12-18";" 0000000000000018.73"
" 000000000000858091.";"0328";"2023-12-23";"2023-12-18";" 0000000000000013.48"
" 000000000000966679.";"0328";"2023-12-23";"2023-12-18";" 0000000000000006.06"
" 000000000000858091.";"0328";"2023-12-20";"2023-12-18";" 0000000000000008.89"
" 000000000000638771.";"0067";"2023-12-28";"2023-12-18";" 0000000000000019.47"
" 000000000000858091.";"0486";"2023-12-21";"2023-12-18";" 0000000000000001.56"
" 000000000000626218.";"0486";"2023-12-30";"2023-12-18";" 0000000000000001.99"
" 000000000000966679.";"0486";"2023-12-30";"2023-12-18";" 0000000000000002.84"
" 000000000000571581.";"0978";"2024-01-05";"2023-12-18";" 0000000000000011.57"
" 000000000000966668.";"0486";"2024-01-04";"2023-12-18";" 0000000000000016.74"
" 000000000000638771.";"0486";"2024-01-05";"2023-12-18";" 0000000000000014.23"
" 000000000000638771.";"0486";"2023-12-22";"2023-12-18";" 0000000000000014.76"
" 000000000000966679.";"0486";"2023-12-22";"2023-12-18";" 0000000000000002.19"
" 000000000000571581.";"0486";"2024-01-07";"2023-12-18";" 0000000000000000.64"
" 000000000000966668.";"0978";"2024-01-07";"2023-12-18";" 0000000000000053.58"
" 000000000000966669.";"0978";"2024-01-07";"2023-12-18";" 0000000000000060.95"
" 000000000000966670.";"0978";"2024-01-07";"2023-12-18";" 0000000000000005.58"
" 000000000000966679.";"0978";"2024-01-07";"2023-12-18";" 0000000000000003.77"
" 000000000000858091.";"0328";"2023-12-29";"2023-12-18";" 0000000000000017.29"
" 000000000000966679.";"0328";"2024-01-03";"2023-12-18";" 0000000000000006.18"
" 000000000000638484.";"0328";"2024-01-09";"2023-12-18";" 0000000000000000.33"
" 000000000000966670.";"0328";"2023-12-26";"2023-12-18";" 0000000000000010.63"
" 000000000000626218.";"0486";"2024-01-07";"2023-12-18";" 0000000000000001.90"
" 000000000000966668.";"0332";"2024-01-03";"2023-12-18";" 0000000000000051.32"
" 000000000000966669.";"0332";"2024-01-03";"2023-12-18";" 0000000000000046.07"
" 000000000000966670.";"0332";"2024-01-03";"2023-12-18";" 0000000000000006.38"
" 000000000000638484.";"0486";"2024-01-02";"2023-12-18";" 0000000000000000.21"
" 000000000000858091.";"0486";"2024-01-02";"2023-12-18";" 0000000000000002.23"
" 000000000000966668.";"0486";"2024-01-02";"2023-12-18";" 0000000000000019.63"
" 000000000000966669.";"0486";"2024-01-02";"2023-12-18";" 0000000000000031.06"
" 000000000000966670.";"0486";"2024-01-02";"2023-12-18";" 0000000000000006.02"
